name,code
희림,037440.KQ
APS홀딩스,054620.KQ
CNT85,056730.KQ
CS,065770.KQ
HLB생명과학,067630.KQ
HRS,036640.KQ
NHN벅스,104200.KQ
NICE평가정보,030190.KQ
TS트릴리온,317240.KQ
갤럭시아머니트리,094480.KQ
고바이오랩,348150.KQ
고영,098460.KQ
광림,014200.KQ
국영지앤엠,006050.KQ
나노엔텍,039860.KQ
나이벡,138610.KQ
네오크레마,311390.KQ
네오팜,092730.KQ
넥스틴,348210.KQ
넵튠,217270.KQ
노바렉스,194700.KQ
노터스,278650.KQ
누리플렉스,040160.KQ
뉴로스,126870.KQ
뉴파워프라즈마,144960.KQ
다날,064260.KQ
대성파인텍,104040.KQ
대양제지,006580.KQ
대창솔루션,096350.KQ
대한과학,131220.KQ
더네이쳐홀딩스,298540.KQ
동국산업,005160.KQ
동아엘텍,088130.KQ
동원개발,013120.KQ
디딤,217620.KQ
디스플레이텍,066670.KQ
디알텍,214680.KQ
디엔에프,092070.KQ
디오,039840.KQ
딜리,131180.KQ
딥노이드,315640.KQ
레드캡투어,038390.KQ
매일홀딩스,005990.KQ
맥스트,377030.KQ
머큐리,100590.KQ
메가엠디,133750.KQ
메디앙스,014100.KQ
메디콕스,054180.KQ
메타바이오메드,059210.KQ
